validation loss,epoch,step,training loss
0.2411375790834427,0,186,
,0,186,0.2819210886955261
0.21124351024627686,1,373,
,1,373,0.21399933099746704
0.19224967062473297,2,560,
,2,560,0.1904110312461853
0.18929971754550934,3,747,
,3,747,0.1869468241930008
0.18861496448516846,4,934,
,4,934,0.18376831710338593
0.18779155611991882,5,1121,
,5,1121,0.18222148716449738
0.18722164630889893,6,1308,
,6,1308,0.1815836876630783
0.18764622509479523,7,1495,
,7,1495,0.1801094263792038
0.18455944955348969,8,1682,
,8,1682,0.17883916199207306
0.18366074562072754,9,1869,
,9,1869,0.1765010803937912
0.18131180107593536,10,2056,
,10,2056,0.17496338486671448
0.180874764919281,11,2243,
,11,2243,0.17329742014408112
0.1809745877981186,12,2430,
,12,2430,0.17133253812789917
0.18096134066581726,13,2617,
,13,2617,0.16959737241268158
0.18064998090267181,14,2804,
,14,2804,0.16824926435947418
0.18007904291152954,15,2991,
,15,2991,0.16661250591278076
0.17991304397583008,16,3178,
,16,3178,0.16492973268032074
0.17725232243537903,17,3365,
,17,3365,0.163650780916214
0.18210718035697937,18,3552,
,18,3552,0.16264677047729492
0.18631350994110107,19,3739,
,19,3739,0.16214528679847717
0.177578866481781,20,3926,
,20,3926,0.15688297152519226
0.17869247496128082,21,4113,
,21,4113,0.15076443552970886
0.17176181077957153,22,4300,
,22,4300,0.1492220163345337
0.17327089607715607,23,4487,
,23,4487,0.14603734016418457
0.17342990636825562,24,4674,
,24,4674,0.14532549679279327
0.17861878871917725,25,4861,
,25,4861,0.1428532898426056
0.18560433387756348,26,5048,
,26,5048,0.1415422111749649
0.17388953268527985,27,5235,
,27,5235,0.14047138392925262
0.1638396829366684,28,5422,
,28,5422,0.13872408866882324
0.16313381493091583,29,5609,
,29,5609,0.13683217763900757
0.16354727745056152,30,5796,
,30,5796,0.13464508950710297
0.16280625760555267,31,5983,
,31,5983,0.13290072977542877
0.16295678913593292,32,6170,
,32,6170,0.13131418824195862
0.15887708961963654,33,6357,
,33,6357,0.12946350872516632
0.15540361404418945,34,6544,
,34,6544,0.12798908352851868
0.1538296937942505,35,6731,
,35,6731,0.12684805691242218
0.15014883875846863,36,6918,
,36,6918,0.1255113035440445
0.14914493262767792,37,7105,
,37,7105,0.12377125024795532
0.1482016146183014,38,7292,
,38,7292,0.12238175421953201
0.14929303526878357,39,7479,
,39,7479,0.12100663036108017
0.14974938333034515,40,7666,
,40,7666,0.11996471136808395
0.14570599794387817,41,7853,
,41,7853,0.11900337785482407
0.14249186217784882,42,8040,
,42,8040,0.1178748682141304
0.13914579153060913,43,8227,
,43,8227,0.11681220680475235
0.13490445911884308,44,8414,
,44,8414,0.11592008918523788
0.13237659633159637,45,8601,
,45,8601,0.11505035310983658
0.13150735199451447,46,8788,
,46,8788,0.11434438824653625
0.1315847933292389,47,8975,
,47,8975,0.11357355117797852
0.1320795714855194,48,9162,
,48,9162,0.11347011476755142
0.13139498233795166,49,9349,
,49,9349,0.11276112496852875
0.1313217729330063,50,9536,
,50,9536,0.11228520423173904
0.12971428036689758,51,9723,
,51,9723,0.11160897463560104
0.12924976646900177,52,9910,
,52,9910,0.11125074326992035
0.12816104292869568,53,10097,
,53,10097,0.11110357195138931
0.1284514218568802,54,10284,
,54,10284,0.11066919565200806
0.12982888519763947,55,10471,
,55,10471,0.11013256013393402
0.13422857224941254,56,10658,
,56,10658,0.1103205606341362
0.13338541984558105,57,10845,
,57,10845,0.10948619246482849
0.13298358023166656,58,11032,
,58,11032,0.10864037275314331
0.1330891251564026,59,11219,
,59,11219,0.10818293690681458
0.13230997323989868,60,11406,
,60,11406,0.10773998498916626
0.1320599615573883,61,11593,
,61,11593,0.10732463747262955
0.13103416562080383,62,11780,
,62,11780,0.1067233756184578
0.1292400062084198,63,11967,
,63,11967,0.10621953755617142
0.12914803624153137,64,12154,
,64,12154,0.10578043013811111
0.12692564725875854,65,12341,
,65,12341,0.10551507771015167
0.12591609358787537,66,12528,
,66,12528,0.10525953024625778
0.1253587156534195,67,12715,
,67,12715,0.1050494909286499
0.12447848916053772,68,12902,
,68,12902,0.10509593784809113
0.12417320907115936,69,13089,
,69,13089,0.10484328866004944
0.12106164544820786,70,13276,
,70,13276,0.1049426794052124
0.11868415772914886,71,13463,
,71,13463,0.10486204922199249
0.11774809658527374,72,13650,
,72,13650,0.10450251400470734
0.12001697719097137,73,13837,
,73,13837,0.10446878522634506
0.12350010126829147,74,14024,
,74,14024,0.10513323545455933
0.12932448089122772,75,14211,
,75,14211,0.1065957173705101
0.11907818913459778,76,14398,
,76,14398,0.10729177296161652
0.11901949346065521,77,14585,
,77,14585,0.10689442604780197
0.1232709139585495,78,14772,
,78,14772,0.1049356684088707
0.12527847290039062,79,14959,
,79,14959,0.10368324816226959
0.12817326188087463,80,15146,
,80,15146,0.1032520979642868
0.1316879838705063,81,15333,
,81,15333,0.10270959883928299
0.13146845996379852,82,15520,
,82,15520,0.10220389068126678
0.13149715960025787,83,15707,
,83,15707,0.10174302756786346
0.12816037237644196,84,15894,
,84,15894,0.10158143192529678
0.1266058385372162,85,16081,
,85,16081,0.10095816105604172
0.12544582784175873,86,16268,
,86,16268,0.10070416331291199
0.12532196938991547,87,16455,
,87,16455,0.10032907128334045
0.12668204307556152,88,16642,
,88,16642,0.10056522488594055
0.12307906150817871,89,16829,
,89,16829,0.10041023045778275
